Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
"सूर्यस्य दमनकपूजा",2024-04-15,04:00,2024-04-15,05:00,False,५१२६ क्रोधी-मेषः-२: अद्य सूर्यस्य दमनकपूजा! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0011.png
"केचिन्निषिद्ध-विषयाः",2024-04-15,04:00,2024-04-15,05:00,False,५१२६ क्रोधी-मेषः-२: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0012.png
"अशोकाष्टमी",2024-04-16,04:00,2024-04-16,05:00,False,५१२६ क्रोधी-मेषः-३: अद्य अशोकाष्टमी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0013.png
"भवान्युत्पत्तिः",2024-04-16,04:00,2024-04-16,05:00,False,५१२६ क्रोधी-मेषः-३: अद्य भवान्युत्पत्तिः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0014.png
"ब्रह्मपुत्रस्नानम्",2024-04-16,04:00,2024-04-16,05:00,False,५१२६ क्रोधी-मेषः-३: अद्य ब्रह्मपुत्रस्नानम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0015.png
"काञ्ची ४३ जगद्गुरु श्री-आनन्दघनेन्द्र सरस्वती आराधना #१०११",2024-04-16,05:00,2024-04-16,06:00,False,५१२६ क्रोधी-मेषः-३: अद्य काञ्ची ४३ जगद्गुरु श्री-आनन्दघनेन्द्र सरस्वती आराधना #१०११! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0016.png
"केचिन्निषिद्ध-विषयाः",2024-04-16,05:00,2024-04-16,06:00,False,५१२६ क्रोधी-मेषः-३: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0017.png
"वसन्तनवरात्र-समापनम्",2024-04-17,04:00,2024-04-17,05:00,False,५१२६ क्रोधी-मेषः-४: अद्य वसन्तनवरात्र-समापनम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0018.png
"श्रीरामनवमी",2024-04-17,04:00,2024-04-17,05:00,False,५१२६ क्रोधी-मेषः-४: अद्य श्रीरामनवमी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0019.png
"केचिन्निषिद्ध-विषयाः",2024-04-17,04:00,2024-04-17,05:00,False,५१२६ क्रोधी-मेषः-४: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0020.png
"धर्मराज-दशमी",2024-04-18,04:00,2024-04-18,05:00,False,५१२६ क्रोधी-मेषः-५: अद्य धर्मराज-दशमी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0021.png
"केचिन्निषिद्ध-विषयाः",2024-04-18,04:00,2024-04-18,05:00,False,५१२६ क्रोधी-मेषः-५: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0022.png
"ऋषीणां दमनकपूजा",2024-04-19,04:00,2024-04-19,05:00,False,५१२६ क्रोधी-मेषः-६: अद्य ऋषीणां दमनकपूजा! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0023.png
"गङ्गा-अन्त्य-पुष्कर-आरम्भः",2024-04-19,04:00,2024-04-19,05:00,False,५१२६ क्रोधी-मेषः-६: अद्य गङ्गा-अन्त्य-पुष्कर-आरम्भः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0024.png
"माधव-मासः 19:29▶",2024-04-19,04:00,2024-04-19,05:00,False,५१२६ क्रोधी-मेषः-६: अद्य माधव-मासः 19:29▶! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0025.png
"सायन-सङ्क्रमण-दिन-अपराह्ण-पुण्यकालः 12:08▶18:18",2024-04-19,05:00,2024-04-19,06:00,False,५१२६ क्रोधी-मेषः-६: अद्य सायन-सङ्क्रमण-दिन-अपराह्ण-पुण्यकालः 12:08▶18:18! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0026.png
"सायन-विष्णुपदी-पुण्यकालः 13:05▶18:18",2024-04-19,05:00,2024-04-19,06:00,False,५१२६ क्रोधी-मेषः-६: अद्य सायन-विष्णुपदी-पुण्यकालः 13:05▶18:18! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0027.png
"समुद्र-मन्थनम्",2024-04-19,05:00,2024-04-19,06:00,False,५१२६ क्रोधी-मेषः-६: अद्य समुद्र-मन्थनम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0028.png
"सर्व-कामदा-एकादशी",2024-04-19,05:00,2024-04-19,06:00,False,५१२६ क्रोधी-मेषः-६: अद्य सर्व-कामदा-एकादशी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0029.png
"श्रीकृष्णदोलोत्सवः",2024-04-19,06:00,2024-04-19,07:00,False,५१२६ क्रोधी-मेषः-६: अद्य श्रीकृष्णदोलोत्सवः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0030.png
"केचिन्निषिद्ध-विषयाः",2024-04-19,06:00,2024-04-19,07:00,False,५१२६ क्रोधी-मेषः-६: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0031.png
"भ्रातृप्राप्ति-व्रत-आरम्भः",2024-04-20,04:00,2024-04-20,05:00,False,५१२६ क्रोधी-मेषः-७: अद्य भ्रातृप्राप्ति-व्रत-आरम्भः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0032.png
"दमनकारोपण-द्वादशी",2024-04-20,04:00,2024-04-20,05:00,False,५१२६ क्रोधी-मेषः-७: अद्य दमनकारोपण-द्वादशी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0033.png
"त्रिपुष्कर-योगः 14:03▶22:42",2024-04-20,04:00,2024-04-20,05:00,False,५१२६ क्रोधी-मेषः-७: अद्य त्रिपुष्कर-योगः 14:03▶22:42! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0034.png
"तुलसी-जननं-क्षीरसागरतः",2024-04-20,05:00,2024-04-20,06:00,False,५१२६ क्रोधी-मेषः-७: अद्य तुलसी-जननं-क्षीरसागरतः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0035.png
"विष्णु-दमनकोत्सवः",2024-04-20,05:00,2024-04-20,06:00,False,५१२६ क्रोधी-मेषः-७: अद्य विष्णु-दमनकोत्सवः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0036.png
"केचिन्निषिद्ध-विषयाः",2024-04-20,05:00,2024-04-20,06:00,False,५१२६ क्रोधी-मेषः-७: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0037.png
"आदित्यहस्त-योगः 17:06▶",2024-04-21,04:00,2024-04-21,05:00,False,५१२६ क्रोधी-मेषः-८: अद्य आदित्यहस्त-योगः 17:06▶! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0038.png
"दमनक-चोरी-उत्सवः",2024-04-21,04:00,2024-04-21,05:00,False,५१२६ क्रोधी-मेषः-८: अद्य दमनक-चोरी-उत्सवः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0039.png
"மீனாக்ஷீ திருக்கல்யாணம்",2024-04-21,04:00,2024-04-21,05:00,False,५१२६ क्रोधी-मेषः-८: अद्य மீனாக்ஷீ திருக்கல்யாணம்! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0040.png
"मदन-त्रयोदशी",2024-04-21,05:00,2024-04-21,06:00,False,५१२६ क्रोधी-मेषः-८: अद्य मदन-त्रयोदशी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0041.png
"रविवार-शुक्ल-प्रदोष-व्रतम् 18:18▶19:46",2024-04-21,05:00,2024-04-21,06:00,False,५१२६ क्रोधी-मेषः-८: अद्य रविवार-शुक्ल-प्रदोष-व्रतम् 18:18▶19:46! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0042.png
"वेङ्कटाचले वसन्तोत्सव-प्रारम्भः",2024-04-21,05:00,2024-04-21,06:00,False,५१२६ क्रोधी-मेषः-८: अद्य वेङ्कटाचले वसन्तोत्सव-प्रारम्भः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0043.png
"केचिन्निषिद्ध-विषयाः",2024-04-21,05:00,2024-04-21,06:00,False,५१२६ क्रोधी-मेषः-८: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0044.png
"दमनक-चतुर्दशी",2024-04-22,04:00,2024-04-22,05:00,False,५१२६ क्रोधी-मेषः-९: अद्य दमनक-चतुर्दशी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0045.png
"मदन-चतुर्दशी",2024-04-22,04:00,2024-04-22,05:00,False,५१२६ क्रोधी-मेषः-९: अद्य मदन-चतुर्दशी! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0046.png
"नृसिंह-दोलोत्सवः",2024-04-22,04:00,2024-04-22,05:00,False,५१२६ क्रोधी-मेषः-९: अद्य नृसिंह-दोलोत्सवः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0047.png
"वेङ्कटाचले वसन्तोत्सवः",2024-04-22,05:00,2024-04-22,06:00,False,५१२६ क्रोधी-मेषः-९: अद्य वेङ्कटाचले वसन्तोत्सवः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0048.png
"केचिन्निषिद्ध-विषयाः",2024-04-22,05:00,2024-04-22,06:00,False,५१२६ क्रोधी-मेषः-९: अद्य केचिन्निषिद्ध-विषयाः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0049.png
"चैत्र-पूर्णिमा",2024-04-23,04:00,2024-04-23,05:00,False,५१२६ क्रोधी-मेषः-१०: अद्य चैत्र-पूर्णिमा! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0050.png
"चित्रा-पूर्णिमा",2024-04-23,04:00,2024-04-23,05:00,False,५१२६ क्रोधी-मेषः-१०: अद्य चित्रा-पूर्णिमा! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0051.png
"चित्रगुप्त-व्रतम्",2024-04-23,04:00,2024-04-23,05:00,False,५१२६ क्रोधी-मेषः-१०: अद्य चित्रगुप्त-व्रतम्! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0052.png
"गजेन्द्र-मोक्षः",2024-04-23,05:00,2024-04-23,06:00,False,५१२६ क्रोधी-मेषः-१०: अद्य गजेन्द्र-मोक्षः! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0053.png
"இசைஞானியார் நாயன்மார் (63) குருபூஜை",2024-04-23,05:00,2024-04-23,06:00,False,५१२६ क्रोधी-मेषः-१०: अद्य இசைஞானியார் நாயன்மார் (63) குருபூஜை! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0054.png
"மதுரகவி ஆழ்வார் திருநக்ஷத்திரம்",2024-04-23,05:00,2024-04-23,06:00,False,५१२६ क्रोधी-मेषः-१०: अद्य மதுரகவி ஆழ்வார் திருநக்ஷத்திரம்! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0055.png
"मन्वादिः-(रौच्यः-[१३])",2024-04-23,05:00,2024-04-23,06:00,False,५१२६ क्रोधी-मेषः-१०: अद्य मन्वादिः-(रौच्यः-[१३])! #adyatithi #अद्यतिथिः,https://raw.githubusercontent.com/karthikraman/panchangam/master/png/Chennai-5126/Chennai-5126-fest-tweet-0056.png
