Subject,Start Date,Start Time,End Date,End Time,Location
14 April 2023,13-04-23,20:00,13-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/001.png
15 April 2023,14-04-23,20:00,14-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/002.png
16 April 2023,15-04-23,20:00,15-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/003.png
17 April 2023,16-04-23,20:00,16-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/004.png
18 April 2023,17-04-23,20:00,17-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/005.png
19 April 2023,18-04-23,20:00,18-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/006.png
20 April 2023,19-04-23,20:00,19-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/007.png
21 April 2023,20-04-23,20:00,20-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/008.png
22 April 2023,21-04-23,20:00,21-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/009.png
23 April 2023,22-04-23,20:00,22-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/010.png
24 April 2023,23-04-23,20:00,23-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/011.png
25 April 2023,24-04-23,20:00,24-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/012.png
26 April 2023,25-04-23,20:00,25-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/013.png
27 April 2023,26-04-23,20:00,26-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/014.png
28 April 2023,27-04-23,20:00,27-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/015.png
29 April 2023,28-04-23,20:00,28-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/016.png
30 April 2023,29-04-23,20:00,29-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/017.png
01 May 2023,30-04-23,20:00,30-04-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/018.png
02 May 2023,01-05-23,20:00,01-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/019.png
03 May 2023,02-05-23,20:00,02-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/020.png
04 May 2023,03-05-23,20:00,03-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/021.png
05 May 2023,04-05-23,20:00,04-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/022.png
06 May 2023,05-05-23,20:00,05-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/023.png
07 May 2023,06-05-23,20:00,06-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/024.png
08 May 2023,07-05-23,20:00,07-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/025.png
09 May 2023,08-05-23,20:00,08-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/026.png
10 May 2023,09-05-23,20:00,09-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/027.png
11 May 2023,10-05-23,20:00,10-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/028.png
12 May 2023,11-05-23,20:00,11-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/029.png
13 May 2023,12-05-23,20:00,12-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/030.png
14 May 2023,13-05-23,20:00,13-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/031.png
15 May 2023,14-05-23,20:00,14-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/032.png
16 May 2023,15-05-23,20:00,15-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/033.png
17 May 2023,16-05-23,20:00,16-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/034.png
18 May 2023,17-05-23,20:00,17-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/035.png
19 May 2023,18-05-23,20:00,18-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/036.png
20 May 2023,19-05-23,20:00,19-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/037.png
21 May 2023,20-05-23,20:00,20-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/038.png
22 May 2023,21-05-23,20:00,21-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/039.png
23 May 2023,22-05-23,20:00,22-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/040.png
24 May 2023,23-05-23,20:00,23-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/041.png
25 May 2023,24-05-23,20:00,24-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/042.png
26 May 2023,25-05-23,20:00,25-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/043.png
27 May 2023,26-05-23,20:00,26-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/044.png
28 May 2023,27-05-23,20:00,27-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/045.png
29 May 2023,28-05-23,20:00,28-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/046.png
30 May 2023,29-05-23,20:00,29-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/047.png
31 May 2023,30-05-23,20:00,30-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/048.png
01 June 2023,31-05-23,20:00,31-05-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/049.png
02 June 2023,01-06-23,20:00,01-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/050.png
03 June 2023,02-06-23,20:00,02-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/051.png
04 June 2023,03-06-23,20:00,03-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/052.png
05 June 2023,04-06-23,20:00,04-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/053.png
06 June 2023,05-06-23,20:00,05-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/054.png
07 June 2023,06-06-23,20:00,06-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/055.png
08 June 2023,07-06-23,20:00,07-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/056.png
09 June 2023,08-06-23,20:00,08-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/057.png
10 June 2023,09-06-23,20:00,09-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/058.png
11 June 2023,10-06-23,20:00,10-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/059.png
12 June 2023,11-06-23,20:00,11-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/060.png
13 June 2023,12-06-23,20:00,12-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/061.png
14 June 2023,13-06-23,20:00,13-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/062.png
15 June 2023,14-06-23,20:00,14-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/063.png
16 June 2023,15-06-23,20:00,15-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/064.png
17 June 2023,16-06-23,20:00,16-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/065.png
18 June 2023,17-06-23,20:00,17-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/066.png
19 June 2023,18-06-23,20:00,18-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/067.png
20 June 2023,19-06-23,20:00,19-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/068.png
21 June 2023,20-06-23,20:00,20-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/069.png
22 June 2023,21-06-23,20:00,21-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/070.png
23 June 2023,22-06-23,20:00,22-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/071.png
24 June 2023,23-06-23,20:00,23-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/072.png
25 June 2023,24-06-23,20:00,24-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/073.png
26 June 2023,25-06-23,20:00,25-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/074.png
27 June 2023,26-06-23,20:00,26-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/075.png
28 June 2023,27-06-23,20:00,27-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/076.png
29 June 2023,28-06-23,20:00,28-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/077.png
30 June 2023,29-06-23,20:00,29-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/078.png
01 July 2023,30-06-23,20:00,30-06-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/079.png
02 July 2023,01-07-23,20:00,01-07-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/080.png
03 July 2023,02-07-23,20:00,02-07-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/081.png
04 July 2023,03-07-23,20:00,03-07-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/082.png
05 July 2023,04-07-23,20:00,04-07-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/083.png
06 July 2023,05-07-23,20:00,05-07-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/084.png
07 July 2023,06-07-23,20:00,06-07-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/085.png
08 July 2023,07-07-23,20:00,07-07-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/086.png
09 July 2023,08-07-23,20:00,08-07-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/087.png
10 July 2023,09-07-23,20:00,09-07-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/088.png
11 July 2023,10-07-23,20:00,10-07-23,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Madrapuri-5124/daily/089.png
