Subject,Start Date,Start Time,End Date,End Time,Location
14 April 2021,13-04-21,20:00,13-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/001.png
15 April 2021,14-04-21,20:00,14-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/002.png
16 April 2021,15-04-21,20:00,15-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/003.png
17 April 2021,16-04-21,20:00,16-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/004.png
18 April 2021,17-04-21,20:00,17-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/005.png
19 April 2021,18-04-21,20:00,18-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/006.png
20 April 2021,19-04-21,20:00,19-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/007.png
21 April 2021,20-04-21,20:00,20-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/008.png
22 April 2021,21-04-21,20:00,21-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/009.png
23 April 2021,22-04-21,20:00,22-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/010.png
24 April 2021,23-04-21,20:00,23-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/011.png
25 April 2021,24-04-21,20:00,24-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/012.png
26 April 2021,25-04-21,20:00,25-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/013.png
27 April 2021,26-04-21,20:00,26-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/014.png
28 April 2021,27-04-21,20:00,27-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/015.png
29 April 2021,28-04-21,20:00,28-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/016.png
30 April 2021,29-04-21,20:00,29-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/017.png
01 May 2021,30-04-21,20:00,30-04-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/018.png
02 May 2021,01-05-21,20:00,01-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/019.png
03 May 2021,02-05-21,20:00,02-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/020.png
04 May 2021,03-05-21,20:00,03-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/021.png
05 May 2021,04-05-21,20:00,04-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/022.png
06 May 2021,05-05-21,20:00,05-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/023.png
07 May 2021,06-05-21,20:00,06-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/024.png
08 May 2021,07-05-21,20:00,07-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/025.png
09 May 2021,08-05-21,20:00,08-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/026.png
10 May 2021,09-05-21,20:00,09-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/027.png
11 May 2021,10-05-21,20:00,10-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/028.png
12 May 2021,11-05-21,20:00,11-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/029.png
13 May 2021,12-05-21,20:00,12-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/030.png
14 May 2021,13-05-21,20:00,13-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/031.png
15 May 2021,14-05-21,20:00,14-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/032.png
16 May 2021,15-05-21,20:00,15-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/033.png
17 May 2021,16-05-21,20:00,16-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/034.png
18 May 2021,17-05-21,20:00,17-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/035.png
19 May 2021,18-05-21,20:00,18-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/036.png
20 May 2021,19-05-21,20:00,19-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/037.png
21 May 2021,20-05-21,20:00,20-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/038.png
22 May 2021,21-05-21,20:00,21-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/039.png
23 May 2021,22-05-21,20:00,22-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/040.png
24 May 2021,23-05-21,20:00,23-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/041.png
25 May 2021,24-05-21,20:00,24-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/042.png
26 May 2021,25-05-21,20:00,25-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/043.png
27 May 2021,26-05-21,20:00,26-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/044.png
28 May 2021,27-05-21,20:00,27-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/045.png
29 May 2021,28-05-21,20:00,28-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/046.png
30 May 2021,29-05-21,20:00,29-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/047.png
31 May 2021,30-05-21,20:00,30-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/048.png
01 June 2021,31-05-21,20:00,31-05-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/049.png
02 June 2021,01-06-21,20:00,01-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/050.png
03 June 2021,02-06-21,20:00,02-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/051.png
04 June 2021,03-06-21,20:00,03-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/052.png
05 June 2021,04-06-21,20:00,04-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/053.png
06 June 2021,05-06-21,20:00,05-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/054.png
07 June 2021,06-06-21,20:00,06-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/055.png
08 June 2021,07-06-21,20:00,07-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/056.png
09 June 2021,08-06-21,20:00,08-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/057.png
10 June 2021,09-06-21,20:00,09-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/058.png
11 June 2021,10-06-21,20:00,10-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/059.png
12 June 2021,11-06-21,20:00,11-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/060.png
13 June 2021,12-06-21,20:00,12-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/061.png
14 June 2021,13-06-21,20:00,13-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/062.png
15 June 2021,14-06-21,20:00,14-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/063.png
16 June 2021,15-06-21,20:00,15-06-21,20:30,https://github.com/karthikraman/panchangam/raw/master/png/madrapurI-5122/daily/064.png
